Tank Name,Statistic,Value,nation
nc-31,DPM,939.13,China
nc-31,Damage,36,China
nc-31,Penetration (mm),40,China
nc-31,… at 500m (mm),33,China
nc-31,Reload time (sec),2.30,China
nc-31,Rate of fire (rnds/min),26.09,China
nc-31,Aim time (sec),2,China
nc-31,Dispersion,0.46,China
nc-31,… damaged,0.92,China
nc-31,Dispersion factors,,China
nc-31,… moving (+),0.38,China
nc-31,… tank traverse (+),0.38,China
nc-31,… turret traverse (+),0.14,China
nc-31,… after firing (+),3.50,China
nc-31,… damaged (×),2,China
nc-31,Damage vs. modules,50,China
nc-31,Caliber (mm),37,China
nc-31,Shell velocity (m/s),750,China
nc-31,Max range (m),720,China
nc-31,Ammo capacity,345,China
nc-31,Potential damage,"12,420",China
nc-31,Shell cost,6,China
nc-31,Top speed (km/h),25,China
nc-31,Reverse speed (km/h),8,China
nc-31,Power (hp),79.30 75,China
nc-31,Power/weight (hp/t),12.03,China
nc-31,Tank traverse (°/sec),62.58,China
nc-31,Effective top speed,,China
nc-31,… hard (km/h),25,China
nc-31,… medium (km/h),25,China
nc-31,… soft (km/h),21.81,China
nc-31,Effective traverse,,China
nc-31,… hard (°/sec),62.67,China
nc-31,… medium (°/sec),52.23,China
nc-31,… soft (°/sec),29.85,China
nc-31,Terrain resistance,,China
nc-31,… hard (rad⁻¹),0.96,China
nc-31,… medium (rad⁻¹),1.15,China
nc-31,… soft (rad⁻¹),2.01,China
nc-31,Gun elevation (°),35,China
nc-31,Gun depression (°),6,China
nc-31,Gun traverse (°/sec),43.75,China
nc-31,Gun traverse range (°),-180 / 180,China
nc-31,Turret traverse (°/sec),34,China
nc-31,Hull armor (mm),16 / 16 / 16,China
nc-31,Turret armor (mm),22 / 22 / 22,China
nc-31,Track armor (mm),5,China
nc-31,Health,235,China
nc-31,Engine health,25,China
nc-31,Track health,50,China
nc-31,… repaired,40,China
nc-31,… repair time (sec),6,China
nc-31,Ammo rack health,65,China
nc-31,Fuel tank health,100,China
nc-31,Max load (kg),"8,600",China
nc-31,Total weight (kg),"6,589",China
nc-31,Stationary camo (%),12.60 / 3.21,China
nc-31,Moving camo (%),9.46 / 2.41,China
nc-31,View range (m),280,China
nc-31,Radio range (m),300,China
nc-31,Fire chance,20%,China
nc-31,Tank cost,0,China
vae-type-b,DPM,"1,131.46",China
vae-type-b,Damage,45,China
vae-type-b,Penetration (mm),49,China
vae-type-b,… at 400m (mm),40.75,China
vae-type-b,Reload time (sec),7.67,China
vae-type-b,Rate of fire (rnds/min),25.14,China
vae-type-b,Clip size,4,China
vae-type-b,Clip damage,180 / 1.88s,China
vae-type-b,Intra-clip reload,0.63,China
vae-type-b,Aim time (sec),1.82,China
vae-type-b,Dispersion,0.43,China
vae-type-b,… damaged,0.86,China
vae-type-b,Dispersion factors,,China
vae-type-b,… moving (+),0.26,China
vae-type-b,… tank traverse (+),0.26,China
vae-type-b,… turret traverse (+),0.12,China
vae-type-b,… after firing (+),3,China
vae-type-b,… damaged (×),2,China
vae-type-b,Damage vs. modules,54,China
vae-type-b,Caliber (mm),40,China
vae-type-b,Shell velocity (m/s),732,China
vae-type-b,Max range (m),400,China
vae-type-b,Ammo capacity,320,China
vae-type-b,Potential damage,"14,400",China
vae-type-b,Shell cost,30,China
vae-type-b,Top speed (km/h),35,China
vae-type-b,Reverse speed (km/h),15,China
vae-type-b,Power (hp),105.73 100,China
vae-type-b,Power/weight (hp/t),14.40,China
vae-type-b,Tank traverse (°/sec),50.06,China
vae-type-b,Effective top speed,,China
vae-type-b,… hard (km/h),35,China
vae-type-b,… medium (km/h),35,China
vae-type-b,… soft (km/h),26.10,China
vae-type-b,Effective traverse,,China
vae-type-b,… hard (°/sec),53.08,China
vae-type-b,… medium (°/sec),48.65,China
vae-type-b,… soft (°/sec),27.80,China
vae-type-b,Terrain resistance,,China
vae-type-b,… hard (rad⁻¹),1.05,China
vae-type-b,… medium (rad⁻¹),1.15,China
vae-type-b,… soft (rad⁻¹),2.01,China
vae-type-b,Gun elevation (°),23,China
vae-type-b,Gun depression (°),6,China
vae-type-b,Gun traverse (°/sec),43.75,China
vae-type-b,Gun traverse range (°),-180 / 180,China
vae-type-b,Turret traverse (°/sec),25.03,China
vae-type-b,Hull armor (mm),12.7 / 12.7 / 12.7,China
vae-type-b,Turret armor (mm),30 / 15 / 15,China
vae-type-b,Track armor (mm),10,China
vae-type-b,Health,340,China
vae-type-b,Engine health,25,China
vae-type-b,Track health,60,China
vae-type-b,… repaired,40,China
vae-type-b,… repair time (sec),12.03,China
vae-type-b,Ammo rack health,75,China
vae-type-b,Fuel tank health,100,China
vae-type-b,Max load (kg),"10,000",China
vae-type-b,Total weight (kg),"7,342",China
vae-type-b,Stationary camo (%),14.35 / 2.80,China
vae-type-b,Moving camo (%),10.78 / 2.10,China
vae-type-b,View range (m),310,China
vae-type-b,Radio range (m),300,China
vae-type-b,Fire chance,20%,China
vae-type-b,Tank cost,"3,900",China
type-2597-chi-ha,DPM,"1,460.20",China
type-2597-chi-ha,Damage,70,China
type-2597-chi-ha,Penetration (mm),81,China
type-2597-chi-ha,… at 500m (mm),69,China
type-2597-chi-ha,Reload time (sec),2.88,China
type-2597-chi-ha,Rate of fire (rnds/min),20.86,China
type-2597-chi-ha,Aim time (sec),2.21,China
type-2597-chi-ha,Dispersion,0.42,China
type-2597-chi-ha,… damaged,0.84,China
type-2597-chi-ha,Dispersion factors,,China
type-2597-chi-ha,… moving (+),0.24,China
type-2597-chi-ha,… tank traverse (+),0.24,China
type-2597-chi-ha,… turret traverse (+),0.16,China
type-2597-chi-ha,… after firing (+),4,China
type-2597-chi-ha,… damaged (×),2,China
type-2597-chi-ha,Damage vs. modules,64,China
type-2597-chi-ha,Caliber (mm),47,China
type-2597-chi-ha,Shell velocity (m/s),810,China
type-2597-chi-ha,Max range (m),720,China
